post_id,timestamp,group,text_len,has_images,durable_score,keep,reason,topics,cluster
684,"fév 08, 2026 8:12:40 am",Españoles que realmente se ayudan en Suiza,1742,1,7.81,1,informational,Working in Switzerland,"Trabajo: empleo, contratos y derechos"
685,"fév 08, 2026 1:40:02 pm",Españoles que realmente se ayudan en Suiza,1778,1,7.93,1,informational,Cost of living; Local rules in Geneva,Vida local: Ginebra (normas y multas)
686,"fév 09, 2026 8:25:42 am",Españoles que realmente se ayudan en Suiza,1627,1,7.42,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
687,"fév 09, 2026 1:08:35 pm",Españoles que realmente se ayudan en Suiza,2288,1,9.63,1,informational,Working in Switzerland; Fraud alerts,Alertas: fraudes y estafas
688,"fév 09, 2026 8:46:23 pm",Españoles que realmente se ayudan en Suiza,1274,1,6.25,1,informational,Immigration and permits; Local rules in Geneva,Vida local: Ginebra (normas y multas)
689,"fév 10, 2026 8:15:56 am",Españoles que realmente se ayudan en Suiza,1530,1,7.10,1,informational,Working in Switzerland; Events and culture,"Trabajo: empleo, contratos y derechos"
690,"fév 10, 2026 10:49:26 am",EspaÑoles en Ginebra,104,1,0.35,0,short-link,Local rules in Geneva,Vida local: Ginebra (normas y multas)
691,"fév 10, 2026 10:50:01 am",Españoles que realmente se ayudan en Suiza,104,1,0.35,0,short-link,Local rules in Geneva,Vida local: Ginebra (normas y multas)
692,"fév 10, 2026 1:32:10 pm",Españoles que realmente se ayudan en Suiza,2170,1,9.23,1,informational,Swiss institutions; Working in Switzerland; Health system; Community life,Salud: LAMal y sistema sanitario
693,"fév 10, 2026 8:22:34 pm",Españoles que realmente se ayudan en Suiza,2588,1,10.63,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
694,"fév 10, 2026 9:30:40 pm",Españoles que realmente se ayudan en Suiza,17,1,0.06,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
695,"fév 11, 2026 8:15:01 am",Españoles que realmente se ayudan en Suiza,2040,1,8.80,1,informational,Housing; Cost of living; Health system; Fraud alerts,Alertas: fraudes y estafas
696,"fév 11, 2026 1:27:00 pm",Españoles que realmente se ayudan en Suiza,2009,1,8.70,1,informational,Swiss institutions; Working in Switzerland; Cost of living; Health system; Events and culture,Salud: LAMal y sistema sanitario
697,"fév 11, 2026 8:15:57 pm",Españoles que realmente se ayudan en Suiza,2368,1,9.89,1,informational,Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
698,"fév 12, 2026 8:15:00 am",Españoles que realmente se ayudan en Suiza,2105,1,9.02,1,informational,Cost of living; Health system; Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
699,"fév 12, 2026 12:39:13 pm",Españoles que realmente se ayudan en Suiza,2394,1,9.98,1,informational,Working in Switzerland; Housing; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
700,"fév 12, 2026 8:11:38 pm",Españoles que realmente se ayudan en Suiza,3406,1,13.35,1,informational,Immigration and permits; Working in Switzerland; Housing; Health system; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
701,"fév 13, 2026 1:25:01 pm",Españoles que realmente se ayudan en Suiza,2660,1,10.87,1,informational,Swiss institutions; Working in Switzerland; Housing; Cost of living; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
702,"fév 17, 2026 8:10:01 am",Españoles que realmente se ayudan en Suiza,1326,0,6.42,1,informational,Housing; Local rules in Geneva,Vida local: Ginebra (normas y multas)
703,"fév 19, 2026 12:14:38 pm",Españoles que realmente se ayudan en Suiza,1487,1,6.96,1,informational,Health system; Swiss politics,Salud: LAMal y sistema sanitario
704,"fév 27, 2026 8:10:01 am",Españoles que realmente se ayudan en Suiza,1568,1,7.23,1,informational,Swiss institutions; Immigration and permits; Fraud alerts,Alertas: fraudes y estafas
705,"fév 27, 2026 1:20:02 pm",Españoles que realmente se ayudan en Suiza,2813,1,11.38,1,informational,Immigration and permits; Working in Switzerland; Health system; Community life,Trámites: permisos y residencia
706,"fév 28, 2026 8:25:02 am",Españoles que realmente se ayudan en Suiza,2651,1,10.84,1,informational,Working in Switzerland; Housing; Cost of living; Swiss politics; Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
707,"fév 28, 2026 1:38:27 pm",Españoles que realmente se ayudan en Suiza,3056,1,12.19,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland,Trámites: permisos y residencia
